iter	Passed	Remaining
284	291041	730156
285	292013	729012
286	292952	727788
287	293947	726702
288	294946	725629
289	295941	724545
290	296985	723582
291	297987	722517
292	299036	721565
293	300014	720442
294	300988	719312
295	302063	718420
296	303129	717507
297	304390	717053
298	305623	716528
299	306603	715409
300	307594	714313
301	308554	713149
302	309605	712195
303	310678	711289
304	311951	710840
305	312946	709753
306	313877	708524
307	314805	707291
308	315729	706048
309	316663	704831
310	317644	703721
311	318584	702520
312	319522	701315
313	320444	700079
314	321470	699071
315	322412	697880
316	323561	697136
317	324529	696004
318	325532	694946
319	326533	693883
320	327481	692711
321	328427	691533
322	329435	690489
323	330390	689332
324	331373	688237
325	332392	687216
326	333346	686061
327	334347	685004
328	335372	683996
329	336366	682926
330	337338	681811
331	338387	680851
332	339457	679934
333	340529	679020
334	341563	678029
335	342830	677498
336	343788	676355
337	344764	675249
338	345699	674062
339	346661	672931
340	347637	671827
341	348633	670762
342	349604	669651
343	350563	668516
344	351524	667386
345	352502	666290
346	353440	665119
347	354397	663985
348	355328	662804
349	356287	661677
350	357210	660482
351	358149	659319
352	359088	658159
353	360077	657091
354	361016	655931
355	361984	654825
356	362923	653669
357	363893	652569
358	364967	651655
359	366513	651578
360	367508	650520
361	368701	649810
362	369640	648653
363	370594	647522
364	371709	646672
365	372805	645788
366	373742	644630
367	374701	643509
368	375659	642388
369	376661	641342
370	377610	640207
371	378717	639339
372	379727	638309
373	380881	637518
374	381953	636589
375	382953	635539
376	383942	634472
377	384915	633379
378	385880	632274
379	386845	631169
380	387812	630068
381	388750	628920
382	389722	627830
383	390716	626774
384	391655	625631
385	392650	624579
386	393629	623500
387	394579	622377
388	395510	621225
389	396442	620076
390	397369	618920
391	398297	617766
392	399222	616611
393	400157	615470
394	401100	614343
395	402035	613206
396	402987	612094
397	403949	610998
398	404914	609908
399	405919	608878
400	406866	607763
401	407800	606628
402	408743	605507
403	409697	604404
404	410647	603297
405	411592	602182
406	412540	601072
407	413507	599991
408	414444	598867
409	415458	597854
410	416403	596744
411	417339	595620
412	418309	594546
413	419261	593447
414	420209	592343
415	421197	591296
416	422172	590232
417	423106	589110
418	424073	588034
419	425080	587016
420	426043	585935
421	427052	584920
422	427991	583808
423	428922	582686
424	429849	581561
425	430795	580462
426	431789	579427
427	432734	578327
428	433666	577211
429	434699	576229
430	435710	575218
431	436668	574137
432	437617	573046
433	438570	571960
434	439505	570852
435	440482	569799
436	441448	568730
437	442397	567643
438	443335	566540
439	444295	565466
440	445247	564383
441	446185	563283
442	447119	562179
443	448043	561063
444	448976	559959
445	449907	558853
446	450881	557801
447	451864	556761
448	452786	555646
449	453780	554620
450	454800	553626
451	455789	552594
452	456753	551532
453	457756	550517
454	458702	549434
455	459627	548327
456	460566	547237
457	461489	546129
458	462406	545015
459	463387	543976
460	464378	542949
461	465353	541905
462	466286	540812
463	467235	539737
464	468160	538636
465	469418	537917
466	470356	536830
467	471281	535730
468	472203	534627
469	473135	533535
470	474076	532455
471	475003	531360
472	475930	530264
473	476853	529167
474	477859	528160
475	478809	527092
476	479741	526005
477	480717	524967
478	481675	523910
479	482616	522834
480	483555	521757
481	484516	520704
482	485500	519676
483	486481	518645
484	487427	517577
485	488441	516582
486	489433	515563
487	490384	514501
488	491374	513481
489	492347	512443
490	493390	511478
491	494356	510432
492	495317	509383
493	496286	508342
494	497331	507378
495	498345	506382
496	499360	505388
497	500337	504355
498	501390	503399
499	502370	502370
500	503438	501428
501	504440	500420
502	505470	499441
503	506431	498392
504	507381	497334
505	508304	496249
506	509235	495173
507	510231	494161
508	511183	493106
509	512138	492054
510	513072	490983
511	514053	489957
512	515041	488938
513	515987	487879
514	516926	486814
515	517908	485790
516	518908	484783
517	519911	483778
518	520885	482747
519	521819	481679
520	522758	480616
521	523685	479543
522	524614	478472
523	525557	477414
524	526529	476383
525	527461	475316
526	528385	474243
527	529362	473217
528	530300	472157
529	531235	471095
530	532188	470049
531	533186	469043
532	534137	467997
533	535113	466971
534	536076	465935
535	537021	464884
536	537995	463858
537	538939	462806
538	539865	461740
539	540794	460676
540	541753	459639
541	542708	458599
542	543682	457574
543	544635	456532
544	545624	455521
545	546579	454481
546	547545	453451
547	548490	452404
548	549441	451362
549	550396	450324
550	551355	449289
551	552286	448232
552	553265	447214
553	554255	446205
554	555251	445201
555	556198	444158
556	557137	443109
557	558114	442090
558	559049	441039
559	560057	440044
560	561024	439019
561	562065	438050
562	563170	437132
563	564185	436143
564	565175	435134
565	566123	434094
566	567086	433066
567	568466	432354
568	569426	431322
569	570354	430267
570	571342	429257
571	572317	428237
572	573247	427184
573	574187	426139
574	575137	425101
575	576077	424057
576	577052	423038
577	577999	421999
578	578936	420953
579	579885	419917
580	580881	418914
581	581865	417903
582	582828	416877
583	583802	415859
584	584722	414802
585	585650	413753
586	586575	412701
587	587549	411684
588	588505	410655
589	589448	409616
590	590393	408580
591	591336	407542
592	592289	406512
593	593297	405519
594	594294	404519
595	595264	403501
596	596209	402466
597	597149	401428
598	598184	400453
599	599118	399412
600	600111	398410
601	601037	397363
602	602048	396373
603	602982	395332
604	603927	394299
605	604906	393289
606	605861	392262
607	606836	391250
608	607808	390235
609	608819	389244
610	609851	388268
611	610825	387255
612	611823	386257
613	612820	385258
614	613882	384300
615	614879	383301
616	615832	382275
617	616841	381283
618	617839	380285
619	618881	379314
620	619904	378331
621	620833	377291
622	621959	376370
623	622961	375374
624	623973	374384
625	625163	373500
626	626242	372549
627	627205	371529
628	628183	370518
629	629168	369511
630	630116	368483
631	631082	367465
632	632093	366474
633	633114	365488
634	634130	364500
635	635082	363474
636	636018	362440
637	636980	361421
638	637929	360395
639	638897	359379
640	640061	358474
641	641009	357447
642	642002	356445
643	642950	355419
644	643931	354412
645	644938	353418
646	645912	352406
647	646862	351382
648	647832	350368
649	648767	349336
650	649746	348327
651	650722	347317
652	651692	346305
653	652623	345271
654	653597	344261
655	654529	343229
656	655513	342224
657	656537	341240
658	657521	340234
659	658547	339251
660	659763	338366
661	660711	337342
662	661657	336317
663	662838	335412
664	663815	334403
665	664755	333376
666	665769	332385
667	666690	331348
668	667611	330313
669	668538	329280
670	669465	328247
671	670425	327231
672	671363	326204
673	672318	325186
674	673275	324169
675	674204	323139
676	675158	322121
677	676105	321100
678	677108	320106
679	678043	319079
680	679005	318065
681	679985	317060
682	680952	316049
683	681931	315044
684	682943	314054
685	683890	313034
686	684862	312026
687	685862	311030
688	686851	310030
689	687822	309021
690	688761	307998
691	689752	306999
692	690698	305980
693	691681	304977
694	692623	303956
695	693662	302979
696	694622	301966
697	695635	300976
698	696575	299956
699	697516	298935
700	698457	297915
701	699427	296908
702	700387	295896
703	701315	294871
704	702246	293847
705	703185	292827
706	704115	291804
707	705116	290810
708	706037	289784
709	706999	288774
710	708011	287785
711	708947	286765
712	709874	285741
713	710811	284722
714	711828	283735
715	712784	282724
716	713733	281710
717	714684	280697
718	715613	279676
719	716532	278651
720	717481	277638
721	718456	276635
722	719453	275641
723	720394	274625
724	721319	273603
725	722277	272595
726	723207	271576
727	724208	270583
728	725144	269566
729	726131	268569
730	727074	267555
731	728050	266554
732	728990	265539
733	729929	264524
734	730883	263515
735	731808	262496
736	732790	261497
737	733735	260486
738	734679	259474
739	735646	258470
740	736569	257451
741	737512	256439
742	738464	255431
743	739434	254428
744	740437	253438
745	741414	252438
746	742340	251421
747	743267	250405
748	744229	249401
749	745228	248409
750	746166	247397
751	747149	246400
752	748119	245399
753	749099	244401
754	750125	243418
755	751141	242432
756	752162	241447
757	753172	240458
758	754195	239474
759	755178	238477
760	756127	237469
761	757083	236464
762	758043	235460
763	758997	234454
764	759931	233442
765	760896	232441
766	761825	231427
767	762756	230416
768	763686	229403
769	764625	228394
770	765694	227424
771	766628	226413
772	767544	225398
773	768469	224385
774	769382	223369
775	770316	222359
776	771244	221348
777	772185	220340
778	773116	219331
779	774081	218330
780	775009	217320
781	775938	216310
782	776855	215297
783	777802	214292
784	778733	213283
785	779682	212280
786	780663	211284
787	781591	210275
788	782523	209268
789	783453	208259
790	784385	207252
791	785322	206246
792	786240	205235
793	787172	204228
794	788097	203220
795	789069	202223
796	789997	201216
797	790923	200208
798	791849	199201
799	792846	198211
800	793774	197204
801	794700	196197
802	795622	195190
803	796543	194182
804	797478	193178
805	798457	192184
806	799386	191179
807	800301	190170
808	801228	189165
809	802199	188170
810	803136	187167
811	804059	186161
812	804985	185156
813	805897	184148
814	806839	183147
815	807754	182140
816	808665	181133
817	809580	180126
818	810572	179137
819	811493	178132
820	812417	177128
821	813350	176127
822	814316	175132
823	815244	174129
824	816232	173140
825	817160	172138
826	818091	171136
827	819015	170133
828	819936	169130
829	820849	168125
830	821767	167122
831	822736	166129
832	823700	165135
833	824626	164134
834	825553	163133
835	826468	162130
836	827456	161141
837	828443	160152
838	829367	159151
839	830302	158152
840	831251	157156
841	832224	156165
842	833164	155168
843	834091	154168
844	835018	153169
845	835933	152167
846	836903	151176
847	837817	150174
848	838739	149175
849	839690	148180
850	840682	147193
851	841622	146197
852	842550	145199
853	843486	144202
854	844413	143204
855	845345	142207
856	846272	141210
857	847202	140212
858	848140	139217
859	849082	138222
860	850012	137226
861	850990	136237
862	851990	135252
863	852958	134261
864	853939	133273
865	854992	132296
866	855930	131301
867	856905	130312
868	857891	129325
869	858833	128331
870	859844	127347
871	860790	126354
872	861789	125369
873	862851	124392
874	863888	123412
875	864859	122423
876	865816	121431
877	866746	120436
878	867750	119451
879	868719	118461
880	869674	117470
881	870607	116475
882	871560	115484
883	872510	114492
884	873444	113498
885	874473	112516
886	875398	111522
887	876346	110530
888	877295	109538
889	878255	108548
890	879236	107560
891	880255	106577
892	881199	105586
893	882157	104595
894	883136	103608
895	884249	102636
896	885177	101642
897	886128	100651
898	887065	99659
899	887996	98666
900	888926	97673
901	889862	96681
902	890810	95690
903	891732	94697
904	892719	93710
905	893685	92722
906	894620	91730
907	895593	90742
908	896551	89753
909	897481	88761
910	898476	87776
911	899431	86787
912	900382	85797
913	901307	84805
914	902255	83816
915	903275	82833
916	904245	81845
917	905209	80857
918	906146	79867
919	907087	78877
920	908022	77886
921	908949	76895
922	909923	75909
923	910870	74920
924	911814	73930
925	912755	72941
926	913692	71952
927	914626	70962
928	915625	69977
929	916887	69013
930	918361	68063
931	919758	67106
932	921045	66141
933	922037	65154
934	923351	64190
935	924902	63241
936	925921	62255
937	926907	61266
938	927882	60277
939	928860	59288
940	929918	58305
941	930950	57319
942	931951	56332
943	932913	55342
944	933974	54358
945	934952	53369
946	935938	52380
947	936916	51392
948	937878	50402
949	938907	49416
950	940216	48444
951	941758	47483
952	942794	46496
953	943743	45505
954	944727	44515
955	945710	43526
956	946697	42537
957	947634	41545
958	948705	40559
959	949747	39572
960	950735	38583
961	951679	37592
962	952725	36605
963	953675	35614
964	954837	34631
965	956022	33648
966	957454	32674
967	958479	31685
968	959518	30696
969	960474	29705
970	961507	28716
971	962837	27736
972	963996	26750
973	965377	25769
974	966551	24783
975	967523	23791
976	968538	22800
977	969480	21808
978	970475	20817
979	971487	19826
980	972479	18834
981	973457	17843
982	974490	16852
983	975493	15861
984	976443	14869
985	977510	13879
986	978495	12887
987	979464	11896
988	980426	10904
989	981355	9912
990	982372	8921
991	983360	7930
992	984307	6938
993	985280	5947
994	986462	4957
995	987414	3965
996	988362	2974
997	989326	1982
998	990259	991
999	991234	0
